id	date	employee_id	lembur	lembur_calc	lm	lm_calc	is_sun	is_holiday
46	2025-12-25	47	480	0.00	480	14.00	0	1
71	2025-12-25	72	480	0.00	480	14.00	0	1
123	2025-12-25	124	480	0.00	480	14.00	0	1
171	2025-12-25	173	480	0.00	480	14.00	0	1
1579	2026-01-01	47	480	0.00	480	14.00	0	1
1604	2026-01-01	72	480	0.00	480	14.00	0	1
1656	2026-01-01	124	480	0.00	480	14.00	0	1
1704	2026-01-01	173	480	0.00	480	14.00	0	1
4864	2026-01-16	47	480	0.00	480	14.00	0	1
4889	2026-01-16	72	480	0.00	480	14.00	0	1
4941	2026-01-16	124	480	0.00	480	14.00	0	1
4989	2026-01-16	173	480	0.00	480	14.00	0	1
11688	2026-02-17	47	480	0.00	480	14.00	0	1
11713	2026-02-17	72	480	0.00	480	14.00	0	1
11765	2026-02-17	124	480	0.00	480	14.00	0	1
11813	2026-02-17	173	480	0.00	480	14.00	0	1
18752	2026-03-19	47	480	0.00	480	14.00	0	1
18777	2026-03-19	72	480	0.00	480	14.00	0	1
18829	2026-03-19	124	480	0.00	480	14.00	0	1
18878	2026-03-19	173	480	0.00	480	14.00	0	1
19204	2026-03-21	47	480	0.00	480	17.00	0	1
19229	2026-03-21	72	480	0.00	480	17.00	0	1
19281	2026-03-21	124	480	0.00	480	17.00	0	1
19330	2026-03-21	173	480	0.00	480	17.00	0	1
19430	2026-03-22	47	480	0.00	480	14.00	1	1
19455	2026-03-22	72	480	0.00	480	14.00	1	1
19507	2026-03-22	124	480	0.00	480	14.00	1	1
19556	2026-03-22	173	480	0.00	480	14.00	1	1
22321	2026-04-03	47	480	0.00	480	14.00	0	1
22346	2026-04-03	72	480	0.00	480	14.00	0	1
22398	2026-04-03	124	480	0.00	480	14.00	0	1
22445	2026-04-03	173	480	0.00	480	14.00	0	1
22813	2026-04-05	47	480	0.00	480	14.00	1	1
22838	2026-04-05	72	480	0.00	480	14.00	1	1
22890	2026-04-05	124	480	0.00	480	14.00	1	1
22937	2026-04-05	173	480	0.00	480	14.00	1	1
29160	2026-05-01	47	480	0.00	480	14.00	0	1
29185	2026-05-01	72	480	0.00	480	14.00	0	1
29237	2026-05-01	124	480	0.00	480	14.00	0	1
29283	2026-05-01	173	480	0.00	480	14.00	0	1
32230	2026-05-14	47	480	0.00	480	14.00	0	1
32255	2026-05-14	72	480	0.00	480	14.00	0	1
32307	2026-05-14	124	480	0.00	480	14.00	0	1
32353	2026-05-14	173	480	0.00	480	14.00	0	1
35443	2026-05-27	47	480	0.00	480	14.00	0	1
35468	2026-05-27	72	480	0.00	480	14.00	0	1
35520	2026-05-27	124	480	0.00	480	14.00	0	1
35566	2026-05-27	173	480	0.00	480	14.00	0	1
36394	2026-05-31	47	480	0.00	480	14.00	1	1
36419	2026-05-31	72	480	0.00	480	14.00	1	1
36471	2026-05-31	124	480	0.00	480	14.00	1	1
36517	2026-05-31	173	480	0.00	480	14.00	1	1
36632	2026-06-01	47	480	0.00	480	14.00	0	1
36657	2026-06-01	72	480	0.00	480	14.00	0	1
36709	2026-06-01	124	480	0.00	480	14.00	0	1
36755	2026-06-01	173	480	0.00	480	14.00	0	1
40214	2026-06-16	47	480	0.00	480	14.00	0	1
40239	2026-06-16	72	480	0.00	480	14.00	0	1
40291	2026-06-16	124	480	0.00	480	14.00	0	1
40337	2026-06-16	173	480	0.00	480	14.00	0	1
